vs_name,vs_id,ftm_name,ftm_id 
massachusetts nurses association,1907,Massachusetts Nurses Association,7704
massachusetts coalition of police,3186,Massachusetts Coalition Of Police,46114105
massachusetts teachers association,1572,Massachusetts Teachers Association,20237
massachusetts society for the prevention of cruelty to animals,1204,Massachusetts Society For The Prevention Of Cruelty To Animals,10668811
massachusetts society for the prevention of cruelty to animals,1204,Massachusetts Society For The Prevention Of Cruelty To Animals,13977
massachusetts audubon society,1246,Massachusetts Audubon Society,10683302
naral pro choice massachusetts,10,Naral Pro Choice Massachusetts,655618
national rifle association political victory fund,126,TimeoutException,TimeoutException
massachusetts motorcycle association pac,1978,TimeoutException,TimeoutException
boston independent drivers guild bidg,2927,TimeoutException,TimeoutException
massachusetts municipal police coalition,3185,Massachusetts Municipal Police Coalition,279058
massachusetts sierra club,1588,Massachusetts Sierra Club Masc,52365585
massachusetts sierra club,1588,Sierra Club Massachusetts Chapter,20873234
massachusetts sierra club,1588,Sierra Club Massachusetts Chapter,47753835
massachusetts sierra club,1588,Sierra Club Massachusetts Independent Expenditure Political Action Committee,53925176
massachusetts conservation voters,1678,TimeoutException,TimeoutException
professional fire fighters of massachusetts,1908,Professional Fire Fighters Of Massachusetts,19521
professional fire fighters of massachusetts,1908,Professional Fire Fighters Of Massachusetts,44282601
michigan republican assembly,3205,Michigan Republican Assembly,44411330
michigan health choice alliance,3242,Michigan Health Choice Alliance,50309181
unite here local 26 massachusetts,3040,TimeoutException,TimeoutException
32bj service employees international union seiu new england 615,3081,TimeoutException,TimeoutException
american federation of teachers aft massachusetts,1905,TimeoutException,TimeoutException
michigan freedom fund,2782,Michigan Freedom Fund,24671327
police officers association of michigan,2776,Police Officers Association Of Michigan,15159
citizens for traditional values,1941,Citizens For Traditional Values,2049667
michigan regional council of carpenters and millwrights,2769,TimeoutException,TimeoutException
michigan conservative union,1283,TimeoutException,TimeoutException
michigan building and construction trades council,2768,TimeoutException,TimeoutException
michigan chamber of commerce,431,Michigan Chamber Of Commerce,17295
detroit regional chamber,3241,Detroit Regional Chamber Of Commerce,17302
detroit regional chamber,3241,Detroit Regional Chamber Of Commerce Refund,44136141
detroit regional chamber,3241,Detroit Regional Chamber Political A,26305669
detroit regional chamber,3241,Detroit Regional Chamber-Automotive Jobs Action Coalition,41731750
naral pro choice michigan,35,Naral Pro-Choice Michigan,1383587
planned parenthood advocates of michigan,492,TimeoutException,TimeoutException
michigan for revolution,2772,TimeoutException,TimeoutException
michigan league of conservation voters,889,Michigan League Of Conservation Voters,229874
michigan fraternal order of police,2781,Michigan Fraternal Order Of Police,37192
michigan fraternal order of police,2781,Michigan Fraternal Order Of Police,47367269
shooters alliance for firearms rights pac,1259,TimeoutException,TimeoutException
michigan asian american progressives,3246,Michigan Asian-American Progressives,54001574
small business association of michigan,1939,Small Business Association Of Michigan,143169
small business association of michigan,1939,Small Business Association Of Michigan,40357795
mi women win,2775,Michigan Women Win,15616127
uaw region 1,3271,Uaw Region 1A,20694
uaw region 1,3271,Uaw Region 1C,52766016
uaw region 1,3271,Uaw Region 1D,20695
michigan education association,2756,Michigan Education Association,20240
michigan nurses association,2757,Michigan Nurses Association,3093
michigan afl cio,429,Michigan State Afl-Cio,21457
michigan farm bureau,1527,Michigan Farm Bureau,3624
sierra club michigan chapter,1659,Sierra Club Michigan Chapter,163085
sierra club michigan chapter,1659,Sierra Club Michigan Chapter,24670513
triangle pride pac,811,Triangle Pride Pac,546874
detroit action,3245,Detroit Action For A New Economy,49657491
detroit action,3245,Detroit Political Action Group,994933
detroit action,3245,Detroit Political Action Grp,1096735
detroit action,3245,Detroit Regional Chamber-Automotive Jobs Action Coalition,41731750
michigan professional fire fighters union,2767,TimeoutException,TimeoutException
right to life of michigan,697,Right To Life Of Michigan,21114
fannie lou hamer pac,3219,Fannie Lou Hamer Pac,118805
fems for dems,2773,Fems For Dems,45521777
progressive womens alliance of west michigan,2660,Progressive Womens Alliance Of West Michigan,15252
progressive womens alliance of west michigan,2660,Progressive Womens Alliance Of West Michigan,18927893
environment michigan,1730,Environment Michigan,19450822
michigan laborers district council,2832,Michigan Laborers District Council,20093
michigan peoples campaign,3064,Michigan Peoples Campaign,43575957
national rifle association political victory fund,1130,TimeoutException,TimeoutException
independents for responsible government,2144,TimeoutException,TimeoutException
national federation of independent business michigan,653,National Federation Of Independent Business Michigan,44063565
pride source,1606,Pride Source Media,1494325
pride source,1606,Pride Source Media Group,1494834
minnesota womens political caucus,763,Minnesota Womens Political Caucus,9255861
outfront minnesota,1479,Outfront Minnesota,9175905
minnesota association of professional employees,548,Minnesota Association Of Professional Employees / Mape,43803634
equality michigan,1337,Equality Michigan,24670888
equality michigan,1337,Equality Michigan,292752
equality michigan,1337,Equality Michigan,7783
minnesota afl cio,1235,Minnesota Afl-Cio,20148
minnesota afl cio,1235,Minnesota Afl-Cio Candidate Fund,53740657
minnesota afl cio,1235,Minnesota Afl-Cio Minnesota Afl-Cio,53916833
minnesota afl cio,1235,"Southeast Minnesota Area Labor Council, Afl-Cio",48126202
womenwinning,2248,"Womenwinning,",10243238
education minnesota,837,Education Minnesota,19333
conservation minnesota,328,Conservation Minnesota,11324
minnesota gun owners caucus,2948,Minnesota Gun Owners Caucus,43620686
minnesota chamber of commerce,266,Minnesota Chamber Of Commerce,17307
laborers international union of north america liuna minnesota and north dakota,2791,TimeoutException,TimeoutException
legislative evaluation assembly of minnesota,1398,TimeoutException,TimeoutException
republican liberty caucus of minnesota,2249,Republican Liberty Caucus Of Minnesota,16753564
republican liberty caucus of minnesota,2249,Republican Liberty Caucus Of Minnesota,29335037
minnesota nurses association,2005,Minnesota Nurses Association,7832
naral pro choice minnesota,1397,Naral Pro Choice Minnesota,10243210
stonewall dfl,1727,Stonewall County Dfl Of Minnesota,16978969
service employees international union seiu minnesota state council,1756,TimeoutException,TimeoutException
voices for racial justice,1774,Voices For Racial Justice,54488417
takeaction minnesota,2794,Takeaction Minnesota,9128141
minnesota gun owners pac,2947,TimeoutException,TimeoutException
taxpayers league of minnesota,163,Taxpayers League Of Minnesota,16359
minnesota family council minnesota family institute,16,TimeoutException,TimeoutException
minncan,2596,50 Can Inc 50 State Camp For Achievement Now Dba Minncan,27724840
national rifle association political victory fund,235,TimeoutException,TimeoutException
national federation of independent business minnesota,1661,TimeoutException,TimeoutException
mississippi public education pac,2899,Mississippi Public Education Pac,44210849
mississippi manufacturers association,2835,Mississippi Manufacturers Association,11954471
planned parenthood of minnesota advocate,1109,TimeoutException,TimeoutException
minnesota sierra club north star,1045,TimeoutException,TimeoutException
voicespac minnesota,2244,TimeoutException,TimeoutException
missouri votes conservation,144,Missouri Votes Conservation,10245662
missouri votes conservation,144,Missouri Votes Conservation,3706701
national rifle association political victory fund,714,TimeoutException,TimeoutException
service employees international union seiu missouri,3104,Seiu Missouri State Council Pac Service Employees International Union,53119979
voices mississippi,2246,TimeoutException,TimeoutException
national federation of independent business mississippi,732,TimeoutException,TimeoutException
national womens political caucus of metro st louis,2323,National Womens Political Caucus Of Metro St Louis,4029692
sierra club missouri chapter,45,Sierra Club Missouri Chapter,3965844
sierra club missouri chapter,45,Sierra Club Missouri Chapter,47290746
planned parenthood advocates in missouri,2529,TimeoutException,TimeoutException
promo for the personal rights of missourians,1322,TimeoutException,TimeoutException
missouri family network,782,Missouri Family Network,3828886
service employees international union seiu healthcare missouri,3074,TimeoutException,TimeoutException
national federation of independent business missouri,1051,National Federation Of Independent Business Missouri,43523664
greater kansas city chamber of commerce,897,Greater Kansas City Chamber Of Commerce,17304
naral pro choice missouri,601,Naral Pro Choice Missouri,13705727
privacy rights education project,39,Privacy Rights Education Project,27611441
missouri chamber of commerce and industry,1063,TimeoutException,TimeoutException
montana federation of public employees,3005,Montana Federation Of Public Employees,54305438
missouri progressive vote coalition,952,Missouri Progressive Vote Coalition,10245804
missouri progressive vote coalition,952,Missouri Progressive Vote Coalition,10803203
montana stockgrowers association,1301,Montana Stockgrowers Association,8141164
montana sportsmen alliance,2305,Montana Sportsmen Alliance,16005492
montana sportsmen alliance,2305,Montana Sportsmen Alliance,54255825
united property owners of montana,2007,United Property Owners Of Montana,24862773
northern plains resource council,1515,Northern Plains Resource Council,8238
southwest montana building industry association,2102,Southwest Montana Building Industry Association,27617124
montana american federation of state county and municipal employee afscme,3038,TimeoutException,TimeoutException
teamsters local 2,2499,Teamsters Local 2,44061055
planned parenthood advocates of montana,2087,Planned Parenthood Advocates Of Montana,43793160
montana progressive labor caucus,522,Montana Progressive Labor Caucus,7934
montana league of rural voters,1771,Montana League Of Rural Voters,7872076
montanans for multiple use,1800,Montanans For Multiple Use,8305251
montana public interest research group,455,Montana Public Interest Research Group,7936
montana environmental information center,547,Montana Environmental Information Center,7923
montana public education center,2302,TimeoutException,TimeoutException
montana wool growers association,1163,Montana Wool Growers Association,7883107
montana conservation voters,752,Montana Conservation Voters,7919
montana contractors association,2140,Montana Contractors Association,7920
montana public employees association,1203,Association Of Montana Retired Public Employees,24862422
montana public employees association,1203,Association Of Montana Retired Public Employees,50032932
montana public employees association,1203,Montana Public Employees Association / Mpea,7935
montana state council of professional fire fighters,2576,Montana State Council Of Professional Fire Fighters,7660728
national federation of independent business montana,1629,National Federation Of Independent Business Montana Political Action Committee,47939777
montana family foundation,945,Montana Family Foundation,7924
nebraska state fraternal order of police,2686,Nebraska State Lodge Fraternal Order Of Police,19356
teamsters local 190,882,Teamsters Local 190,7660563
nebraska firearms owners association political action fund,2250,TimeoutException,TimeoutException
nebraska sierra club,610,Nebraska Chapter Of The Sierra Club,27695134
nebraska sierra club,610,Sierra Club Nebraska Chapter,9917311
nebraska sierra club,610,"Sierra Club, Nebraska",27636764
nebraska sierra club,610,"Sierra Club, Nebraska Chapter Of The",27673898
national rifle association political victory fund,648,TimeoutException,TimeoutException
nebraska farmers union nebfarmpac,939,Nebraska Farmers Union Political Action Committee (Nebfarmpac),28726283
nebraska chamber of commerce industry,2097,Nebraska Chamber Of Commerce & Industry,17310
voices for children in nebraska,2072,Voices For Children In Nebraska,27673738
nevada republican liberty caucus,1070,Nevada Republican Liberty Caucus,9731758
planned parenthood voters of nebraska,563,TimeoutException,TimeoutException
reno sparks chamber of commerce,2036,Greater Reno-Sparks Chamber Of Commerce,9688965
reno sparks chamber of commerce,2036,Reno & Sparks Chamber Of Commerce,48047344
reno sparks chamber of commerce,2036,Reno + Sparks Chamber Of Commerce,54465071
reno sparks chamber of commerce,2036,Reno Sparks Chamber Of Commerce-The Chamber,48842981
one apia nevada pac,3209,One Apia Nevada Pac,47283298
silver state equality,2954,Silver State Equality,48843228
silver state equality,2954,Silver State Equality,54465086
nebraska taxpayers for freedom,350,TimeoutException,TimeoutException
professional fire fighters of nevada,2813,Professional Fire Fighters Of Nevada,19522
nevada state afl cio,2252,Nevada State Afl-Cio,20154
nevada state education association,460,Nevada State Education Association Separate Segregated Funds,44129136
service employees international union seiu nevada,2726,TimeoutException,TimeoutException
citizen outreach,2076,Citizen Outreach,27700470
nevada prosperity project,1782,TimeoutException,TimeoutException
nevada law enforcement coalition nlec,2812,TimeoutException,TimeoutException
grassroots nevada,2016,Grassroots Nevada Llc,39005496
new hampshire sierra club,2366,New Hampshire Sierra Club State,53388163
new hampshire sierra club,2366,Sierra Club New Hampshire Chapter,9820165
new hampshire sierra club,2366,Sierra Club Of New Hampshire,27631252
cornerstone policy research,1861,Cornerstone Policy Research & Action,39766941
new hampshire firearms coalition,2363,New Hampshire Firearms Coalition-Pac,47816887
citizens for responsible government nevada,2822,TimeoutException,TimeoutException
nevada policy research institute npri,2017,TimeoutException,TimeoutException
nevada right to life pac,2254,TimeoutException,TimeoutException
new hampshire lodging restaurant association,2012,New Hampshire Lodging & Restaurant Association,8093
state employees association of new hampshire,2477,State Employees Association Of New Hampshire,9750054
new futures,2874,New Futures,27631365
planned parenthood new hampshire action fund,2365,Planned Parenthood New Hampshire Action Fund,46755969
new hampshire right to life,342,New Hampshire Right To Life,9788713
new hampshire citizens alliance,333,New Hampshire Citizens Alliance,27638847
new hampshire afl cio,2400,New Hampshire Afl-Cio,21458
new hampshire afl cio,2400,New Hampshire Afl-Cio,48062972
business and industry association,1921,TimeoutException,TimeoutException
new hampshire families for education,1967,TimeoutException,TimeoutException
new hampshire public interest research group,1179,New Hampshire Public Interest Research Group,27631458
republican liberty caucus of new hampshire,2131,TimeoutException,TimeoutException
new hampshire house republican alliance,1644,TimeoutException,TimeoutException
national rifle association political victory fund,1129,TimeoutException,TimeoutException
new jersey citizen action,2193,New Jersey Citizen Action,21777164
new jersey citizen action,2193,New Jersey Citizen Action,24794804
new jersey citizen action,2193,New Jersey Citizen Action,25493390
national federation of independent business new hampshire,1759,TimeoutException,TimeoutException
new jersey right to life,2050,New Jersey Right To Life,21116
environment new jersey,1869,Environment New Jersey,19449022
garden state equality,2910,Garden State Equality,11000732
garden state equality,2910,Garden State Equality,11000735
garden state equality,2910,Garden State Equality,1126201
womens political caucus of new jersey,2194,Womens Political Caucus Of New Jersey,17202
new jersey citizen action pac,1348,New Jersey Citizen Action Pac (Njca Pac),40453954
new jersey public interest research group,1512,TimeoutException,TimeoutException
probation association of new jersey,3297,TimeoutException,TimeoutException
the bricklayers and allied craftworkers union of new jersey,2616,TimeoutException,TimeoutException
jneso the professional health care union,2613,TimeoutException,TimeoutException
new jersey building and construction trades council afl cio,2191,TimeoutException,TimeoutException
sierra club new jersey chapter,1878,Sierra Club New Jersey Chapter,6573922
new jersey afl cio,1603,Council Of New Jersey State College Locals Cope-Aft / Afl-Cio Cope,44108936
new jersey afl cio,1603,New Jersey State Afl Cio,54448466
new jersey afl cio,1603,New Jersey State Afl-Cio,20155
new jersey lesbian and gay coalition,1375,TimeoutException,TimeoutException
family policy alliance of new jersey,2996,Family Policy Alliance Of New Jersey,55399809
new jersey league of conservation voters,2090,New Jersey League Of Conservation Voters,19898745
new jersey state firefighters mutual benevolent association,2235,TimeoutException,TimeoutException
new jersey organization for a better state pac new jobs pac,564,TimeoutException,TimeoutException
national association of social workers new jersey chapter,1891,New Jersey Chapter National Association Of Social Workers,21107
planned parenthood action fund of new jersey,1881,TimeoutException,TimeoutException
progressive democrats of new jersey,3279,TimeoutException,TimeoutException
the new york hotel and motel trades council afl cio new jersey chapter,2617,TimeoutException,TimeoutException
new jersey state nurses association,2190,New Jersey State Nurses Association,10236886
new jersey state nurses association,2190,New Jersey State Nurses Association,43689196
new jersey state nurses association,2190,New Jersey State Nurses Association,6421034
new jersey restaurant association,1883,New Jersey Restaurant Association,8134
republican liberty caucus,1872,Republican Liberty Caucus,10244597
republican liberty caucus,1872,Republican Liberty Caucus,10704656
republican liberty caucus,1872,Republican Liberty Caucus,11055461
republican liberty caucus,1872,Republican Liberty Caucus,11270538
republican liberty caucus,1872,Republican Liberty Caucus,16755873
republican liberty caucus,1872,Republican Liberty Caucus,1817488
republican liberty caucus,1872,Republican Liberty Caucus,2002766
republican liberty caucus,1872,Republican Liberty Caucus,20363931
republican liberty caucus,1872,Republican Liberty Caucus,24865843
republican liberty caucus,1872,Republican Liberty Caucus,37064237
republican liberty caucus,1872,Republican Liberty Caucus,38431755
republican liberty caucus,1872,Republican Liberty Caucus,38606598
republican liberty caucus,1872,Republican Liberty Caucus,44645095
republican liberty caucus,1872,Republican Liberty Caucus,7593920
republican liberty caucus,1872,Republican Liberty Caucus,8874029
republican liberty caucus,1872,Republican Liberty Caucus,9954740
pams list,2909,"List, Pams",49658205
pams list,2909,Pams List The Womens Coalition,14895
pams list,2909,Pams List Womens Coalition,6714875
pams list,2909,The Womens Coalition- Pams List,19888465
pams list,2909,Womens Coalition-Pams List,6557331
latina civic pac,3293,TimeoutException,TimeoutException
good government coalition of new jersey,3280,TimeoutException,TimeoutException
national rifle association political victory fund,756,TimeoutException,TimeoutException
new jersey outdoor alliance,1885,New Jersey Outdoor Alliance,6422099
new jersey superior officers association njsoa,2615,TimeoutException,TimeoutException
new jersey public health association,1191,TimeoutException,TimeoutException
south jersey progressive democrats,3146,TimeoutException,TimeoutException
marias women united,2911,Marias Women United,44105279
american federation of teachers new jersey afl cio,2580,TimeoutException,TimeoutException
32bj service employees international union seiu new jersey,3080,TimeoutException,TimeoutException
new jersey now national organization for women,2831,TimeoutException,TimeoutException
new jersey chamber of commerce,531,Chamber Of Commerce Southern New Jersey,24794651
new jersey chamber of commerce,531,New Jersey State Chamber Of Commerce,6609283
new jersey chamber of commerce,531,Southern New Jersey Chamber Of Commerce,10871002
force the issue nj,3149,TimeoutException,TimeoutException
professional firefighters association of new jersey,2255,TimeoutException,TimeoutException
new jersey fraternal order of police,1888,Fraternal Order Of Police New Jersey State Lodge 4,31616416
new jersey fraternal order of police,1888,Fraternal Order Of Police New Jersey State Lodge P Ac,54291504
new jersey fraternal order of police,1888,Fraternal Order Of Police New Jersey State Lodge P Ac Fop,54410217
new jersey fraternal order of police,1888,Fraternal Order Of Police New Jersey State Lodge Pac Fop,48860475
new jersey fraternal order of police,1888,Fraternal Order Of The Police New Jersey State Lodge,44108530
new jersey fraternal order of police,1888,New Jersey State Lodge Fraternal Order Of Police,23415023
naral pro choice new jersey,1511,Naral Pro-Choice New Jersey,16502431
anti racist alliance,2599,TimeoutException,TimeoutException
national federation of independent business new jersey,323,National Federation Of Independent Business New Jersey,44107872
northeast regional council of carpenters,2614,Northeast Regional Council Of Carpenters,44954359
northeast regional council of carpenters,2614,Northeast Regional Council Of Carpenters,6871914
right to choose,371,Right To Choose,10187632
health professionals and allied employees,1887,TimeoutException,TimeoutException
new jersey education association,680,New Jersey Education Association,20252
our revolution new mexico,2712,TimeoutException,TimeoutException
service employees international union seiu new jersey state council,2612,TimeoutException,TimeoutException
new jersey taxpayers alliance,2015,TimeoutException,TimeoutException
new mexico shooting sports association,422,New Mexico Shooting Sports Association,9103749
new mexico shooting sports association,422,New Mexico Shooting Sports Association,9256466
new mexico professional fire fighters association,2714,New Mexico Professional Fire Fighters Association,8934844
rio grande foundation,2744,Rio Grande Foundation,46862890
organizers in the land of enchantment ole,2713,TimeoutException,TimeoutException
new mexico public interest research group,1635,New Mexico Public Interest Research Group,10953792
new mexico public interest research group,1635,New Mexico Public Interest Research Group,27655176
environment new mexico,1825,Environment New Mexico,18929576
national education association new mexico,2715,TimeoutException,TimeoutException
common cause new mexico,2743,Common Cause New Mexico,27638216
common cause new mexico,2743,Common Cause New Mexico,54703478
sierra club rio grande chapter,1377,Sierra Club Rio Grande Chapter,9021789
right to life committee of new mexico,1592,Right To Life Committee Of New Mexico,27673339
new mexico federation of labor afl cio,797,"Ashley New Mexico Federation Of Labor, Afl-Cio",52835974
new mexico federation of labor afl cio,797,New Mexico Federation Of Labor Afl-Cio,3004
unite new mexico,2699,Arizona New Mexico Victory Fund-Unitemized,49411124
unite new mexico,2699,New Mexico Indivisible United,51093201
unite new mexico,2699,New Mexico State Legislative Board United Transportation Union,20970
unite new mexico,2699,New Mexico United,53503811
unite new mexico,2699,New Mexico Unites For Marriage,32477232
unite new mexico,2699,New Mexico Vecinos United,27638750
unite new mexico,2699,United Blood Services Of New Mexico,27638652
unite new mexico,2699,United Chiropractors Of New Mexico Presidents Circle,9216546
unite new mexico,2699,United For New Mexico,49890515
unite new mexico,2699,United Way Of Eastern New Mexico,44660508
american federation of teachers new mexico,414,American Federation Of Teachers New Mexico,50000399
planned parenthood of new mexico,1482,TimeoutException,TimeoutException
national federation of independent business new mexico,1030,National Federation Of Independent Business New Mexico,46888373
new york state public employees federation,399,New York State Public Employees Federation,19165
police benevolent association of new york state,2824,Police Benevolent Association Of New York State,55511176
new mexico federation of educational employees,1523,TimeoutException,TimeoutException
new mexico prosperity project,1785,TimeoutException,TimeoutException
community voices heard power,3008,Community Voices Heard Power,18929677
business council of new york state incorporated,624,"Association Of School Business Officials Nys Conference Of Big 5 School Districts Council Of School Superintendents Nys New York State Congress Of Parents & Teachers, Incorporated School Administrators Association Of New York State School Board",55439734
national organization of women new york,181,TimeoutException,TimeoutException
eleanors legacy,3142,Eleanors Legacy,44255839
unshackle upstate,1953,Unshackle Upstate,27672659
the partnership for the homeless,710,TimeoutException,TimeoutException
united federation of teachers,2038,United Federation Of Teachers,29208623
united federation of teachers,2038,United Federation Of Teachers,41697312
united federation of teachers,2038,United Federation Of Teachers,54394812
united federation of teachers,2038,United Federation Of Teachers,55441691
united federation of teachers,2038,United Federation Of Teachers,55443453
united federation of teachers,2038,United Federation Of Teachers,55444682
united federation of teachers,2038,United Federation Of Teachers,55554901
equality new york eqny,3122,TimeoutException,TimeoutException
national federation of independent business new york,1369,National Federation Of Independent Business New York,42050471
district council 37 afscme afl cio,3207,TimeoutException,TimeoutException
union of arab women of nyc,3090,TimeoutException,TimeoutException
league of humane voters of new york city,2018,League Of Humane Voters Of New York City,27541628
league of humane voters of new york city,2018,League Of Humane Voters Of New York City,39474394
statewide emergency network for social and economic security,1384,TimeoutException,TimeoutException
council of school supervisors administrators csa,3129,Csa Council Of School Supervisors & Administrators,49294511
uniformed fire officers association,2823,Uniformed Fire Officers Association Loca,54343749
uniformed fire officers association,2823,Uniformed Fire Officers Association Local 527,49289232
uniformed fire officers association,2823,Uniformed Fire Officers Association Local 854,19539
uniformed fire officers association,2823,Uniformed Fire Officers Association Nyc,55441689
uniformed fire officers association,2823,Uniformed Fire Officers Association Nyc,55443450
uniformed fire officers association,2823,Uniformed Fire Officers Association Nyc,55444679
uniformed fire officers association,2823,Uniformed Fire Officers Association Poli,54828320
uniformed fire officers association,2823,Uniformed Fire Officers Association Politial Actio,50541560
uniformed fire officers association,2823,Uniformed Fire Officers Association Ufoa,54824611
uniformed fire officers association,2823,Uniformed Fire Officers Association Ufoa 527,54823932
new york immigration coalition action fund,3124,TimeoutException,TimeoutException
new york civil liberties union,865,"Civil Liberties Union (New York) (Fka Perry, Robert)",47629782
new york civil liberties union,865,New York Civil Liberties Union Inc,55440392
new york civil liberties union,865,New York Civil Liberties Union Inc,55441330
new york civil liberties union,865,New York Civil Liberties Union Inc,55443075
new york civil liberties union,865,New York Civil Liberties Union Inc,55444289
new york civil liberties union,865,New York Civil Liberties Union Inc,55554547
new york state united teachers nysut,2545,TimeoutException,TimeoutException
32bj service employees international union seiu new york,2039,TimeoutException,TimeoutException
new york state rifle and pistol association,669,TimeoutException,TimeoutException
the jewish vote,3006,TimeoutException,TimeoutException
new york afl cio,780,Afl-Cio Central New York Labor Council,53384836
new york afl cio,780,"Afl-Cio New York State (Fka Neidl, Michael)",44954425
new york afl cio,780,Hotel & Motel Trades Council Afl-Cio New York Hotel & Gaming Trades Council Afl-Cio,55510443
new york afl cio,780,Hotel & Motel Trades Council Afl-Cio New York Hotel & Motel Trades Council Afl-Cio New York,55510444
new york afl cio,780,New York Hotel & Motel Trades Council Afl-Cio,17705180
new york afl cio,780,New York Labor Council Afl-Cio,53957399
new york afl cio,780,New York State Afl-Cio,39733878
new york afl cio,780,New York State Afl-Cio Cope Accouont,50539729
league of humane voters of new york,2359,League Of Humane Voters Of New York,14009389
stonewall democratic club of new york city,2939,Stonewall Democratic Club Of New York City,4511074
the campaign for a pro choice new york,869,TimeoutException,TimeoutException
new york state nurses association,2827,New York State Nurses Association,3094
lambda independent democrats of brooklyn,2040,Lambda Independent Democrats Of Brooklyn,5435456
new york league of conservation voters,823,New York League Of Conservation Voters,5930298
new yorkers against gun violence,1545,New Yorkers Against Gun Violence,4531564
empire state indivisible,3009,TimeoutException,TimeoutException
make the road action,2936,Make The Road Action,40605021
conservative union,875,Amerian Conservative Union,29116350
conservative union,875,American Conservative Union,124
conservative union,875,American Conservative Union,48876948
conservative union,875,American Conservative Union Cpac,54497187
conservative union,875,American Conservative Union Fed,47788727
conservative union,875,American Conservative Union Foundation,48847325
conservative union,875,American Conservative Union Super,52876235
conservative union,875,Co Conservative Union Pac,7037535
conservative union,875,Colorado Conservative Union,15728473
conservative union,875,Conservative Action Project Of Union Co Larry Watkins - Secretary,24360602
planned parenthood empire state,2459,Planned Parenthood Empire State,46868403
professional staff congress city university of new york psc cuny,1961,TimeoutException,TimeoutException
new york communities for change,3007,New York Communities For Change,42049737
new york shooters committee on political education,500,TimeoutException,TimeoutException
the new york hotel and motel trades council afl cio,2637,TimeoutException,TimeoutException
north carolina values coalition,2891,North Carolina Values Coalition,15844066
north carolina values coalition,2891,North Carolina Values Coalition,31748749
north carolina values coalition,2891,North Carolina Values Coalition,47776790
naral pro choice north carolina,534,Naral Pro-Choice North Carolina,2568998
north carolina league of conservation voters,286,North Carolina League Of Conservation Voters,6417
treeage,3143,TimeoutException,TimeoutException
north carolina voters for clean elections,1769,North Carolina Voters For Clean Elections,27654744
civitas action,1877,Civitas Action,10245612
civitas action,1877,Civitas Action,16180815
christian coalition of north carolina,270,TimeoutException,TimeoutException
north carolina public interest research group,609,North Carolina Public Interest Research Group,27654838
north carolinians against gun violence,1650,North Carolinians Against Gun Violence Educ Fund,27654690
north carolinians against gun violence,1650,North Carolinians Against Gun Violence Educaiton Fund,47756260
north carolinians against gun violence,1650,North Carolinians Against Gun Violence Education Fund,27654990
indivisible district 9,3061,TimeoutException,TimeoutException
christian action league,2514,Christian Action League,10239174
professional fire fighters and paramedics of north carolina,3258,TimeoutException,TimeoutException
north dakota farmers union,742,North Dakota Farmers Union,10009450
national rifle association political victory fund,1103,TimeoutException,TimeoutException
planned parenthood votes south atlantic north carolina,899,TimeoutException,TimeoutException
north dakota united,2497,North Dakota United,28298335
north dakota united,2497,North Dakota United,53005690
family policy alliance of north dakota,2069,TimeoutException,TimeoutException
north dakota public employees association,18,North Dakota Public Employees Association,19237
national rifle association institute for legislative action,551,TimeoutException,TimeoutException
ohio education association,1947,Ohio Education Association,20256
ohio environmental council action fund,2554,Ohio Environmental Council Action Fund,43240330
ohio league of conservation voters,191,Ohio League Of Conservation Voters,2626981
national federation of independent business north dakota,237,TimeoutException,TimeoutException
national rifle association political victory fund,249,TimeoutException,TimeoutException
national federation of independent business ohio,1573,National Federation Of Independent Business Ohio,44445024
ohio taxpayers association,1287,Ohio Taxpayers Association,3424827
ohio right to life,335,Northeast Ohio Right To Life,44848810
ohio right to life,335,Ohio Right To Life Society,10245536
ohio right to life,335,Ohio Right To Life Society,2599296
ohio right to life,335,Ohio Right To Life Society Inc,12565746
ohio right to life,335,Ohio Right To Life Society Inc,27605547
ohio right to life,335,"Ohio Right To Life Society, Inc",27664963
ohio right to life,335,Right To Life Action Coalition Of Ohio Inc,43802755
ohio right to life,335,Right To Life Of Ne Ohio,47384381
ohio right to life,335,Right To Life Of Norheast Ohio,44732010
ohio right to life,335,Right To Life Of Northeast Ohio,47383305
ohio nurses association,358,Ohio Nurses Association,3096
equality ohio,2261,Equality Ohio,2875488
ohio value voters,3135,Ohio Values Voters,46659850
service employees international union seiu district 1199 ohio,2786,TimeoutException,TimeoutException
stonewall democrats of central ohio,1303,Stonewall Democrats Of Central Ohio,2596862
ohio civil service employees association votes,2787,TimeoutException,TimeoutException
ohio business votes,1731,TimeoutException,TimeoutException
ohio federation of teachers,1735,Ohio Federation Of Teachers,19239
ohio afl cio,617,Central Ohio Afl-Cio,2984302
ohio afl cio,617,Greater N W Ohio Afl-Cio,44848378
ohio afl cio,617,Greater Northwest Ohio Afl-Cio,2876900
ohio afl cio,617,Greater Northwest Ohio Afl-Cio Dinner,44849704
ohio afl cio,617,Northwest Ohio Afl Cio,44727787
ohio afl cio,617,Ohio Afl-Cio,20161
ohio afl cio,617,Ohio Afl-Cio Dayton Miami Valley Central Labor Council,46668298
ohio afl cio,617,Ohio Afl-Cio Golf Outing,47381203
ohio afl cio,617,Ohio Afl-Cio Political Contributing Entity Pac La435,46665501
ohio afl cio,617,Ohio Afl-Cio-Committee On Political Education,45403801
